team_name,league,country,coach_name,staff_url,staff_dob,staff_nationality,staff_nationality_secondary,appointed,end_date,days_in_post,matches,wins,draws,losses
Bournemouth,Premier League,England,Jason Tindall,https://www.transfermarkt.com/jason-tindall/profil/trainer/15662,"Nov 15, 1977",England,,2020-08-08,2021-02-03,179,31,14,9,8
Bournemouth,Premier League,England,Eddie Howe,https://www.transfermarkt.com/eddie-howe/profil/trainer/10976,"Nov 29, 1977",England,,2012-10-14,2020-08-01,2848,355,144,75,136
Wolves,Premier League,England,Julen Lopetegui,https://www.transfermarkt.com/julen-lopetegui/profil/trainer/6615,"Aug 28, 1966",Spain,,2022-11-14,2023-08-08,267,27,10,5,12
Wolves,Premier League,England,Bruno Lage,https://www.transfermarkt.com/bruno-lage/profil/trainer/61477,"May 12, 1976",Portugal,,2021-07-01,2022-10-02,458,51,19,9,23
Wolves,Premier League,England,Nuno Espírito Santo,https://www.transfermarkt.com/nuno-espirito-santo/profil/trainer/16520,"Jan 25, 1974",Portugal,Sao Tome and Principe,2017-07-01,2021-06-30,1460,199,96,46,57
Crystal Palace,Premier League,England,Patrick Vieira,https://www.transfermarkt.com/patrick-vieira/profil/trainer/20029,"Jun 23, 1976",France,Senegal,2021-07-04,2023-03-17,621,74,22,24,28
Crystal Palace,Premier League,England,Roy Hodgson,https://www.transfermarkt.com/roy-hodgson/profil/trainer/1775,"Aug 9, 1947",England,,2017-09-12,2021-06-30,1387,162,54,36,72
Fulham,Premier League,England,Marco Silva,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,"Jul 12, 1977",Portugal,,2021-07-01,,951,125,59,23,43
Fulham,Premier League,England,Scott Parker,https://www.transfermarkt.com/scott-parker/profil/trainer/54455,"Oct 13, 1980",England,,2019-02-28,2021-06-30,853,105,37,25,43
Fulham,Premier League,England,Claudio Ranieri,https://www.transfermarkt.com/claudio-ranieri/profil/trainer/456,"Oct 20, 1951",Italy,,2018-11-14,2019-02-28,106,17,3,3,11
Fulham,Premier League,England,Slavisa Jokanovic,https://www.transfermarkt.com/slavisa-jokanovic/profil/trainer/5627,"Aug 16, 1968",Serbia,Spain,2015-12-27,2018-11-14,1053,144,63,36,45
Newcastle Utd,Premier League,England,Eddie Howe,https://www.transfermarkt.com/eddie-howe/profil/trainer/10976,"Nov 29, 1977",England,,2021-11-08,,821,108,53,24,31
Newcastle Utd,Premier League,England,Steve Bruce,https://www.transfermarkt.com/steve-bruce/profil/trainer/447,"Dec 31, 1960",England,,2019-07-17,2021-10-20,826,97,29,25,43
Newcastle Utd,Premier League,England,Rafael Benítez,https://www.transfermarkt.com/rafael-benitez/profil/trainer/1522,"Apr 16, 1960",Spain,,2016-03-11,2019-06-30,1206,146,62,30,54
Burnley,Premier League,England,Vincent Kompany,https://www.transfermarkt.com/vincent-kompany/profil/trainer/69681,"Apr 10, 1986",Belgium,DR Congo,2022-07-01,,586,81,39,19,23
Burnley,Premier League,England,Sean Dyche,https://www.transfermarkt.com/sean-dyche/profil/trainer/15856,"Jun 28, 1971",England,,2012-10-30,2022-04-15,3454,425,152,114,159
Brighton,Premier League,England,Roberto De Zerbi,https://www.transfermarkt.com/roberto-de-zerbi/profil/trainer/32157,"Jun 6, 1979",Italy,,2022-09-18,,507,71,34,16,21
Brighton,Premier League,England,Graham Potter,https://www.transfermarkt.com/graham-potter/profil/trainer/23954,"May 20, 1975",England,,2019-05-20,2022-09-07,1206,134,43,43,48
Brighton,Premier League,England,Chris Hughton,https://www.transfermarkt.com/chris-hughton/profil/trainer/2654,"Dec 11, 1958",Ireland,England,2014-12-31,2019-05-13,1594,215,89,56,70
Barcelona,LaLiga,Spain,Xavi,https://www.transfermarkt.com/xavi/profil/trainer/59876,"Jan 25, 1980",Spain,,2021-11-06,2024-06-30,967,124,78,20,26
Barcelona,LaLiga,Spain,Ronald Koeman,https://www.transfermarkt.com/ronald-koeman/profil/trainer/439,"Mar 21, 1963",Netherlands,,2020-08-19,2021-10-28,435,67,40,11,16
Barcelona,LaLiga,Spain,Quique Setién,https://www.transfermarkt.com/quique-setien/profil/trainer/12440,"Sep 27, 1958",Spain,,2020-01-13,2020-08-17,217,25,16,4,5
Barcelona,LaLiga,Spain,Ernesto Valverde,https://www.transfermarkt.com/ernesto-valverde/profil/trainer/1559,"Feb 9, 1964",Spain,,2017-07-01,2020-01-13,926,145,97,32,16
Atlético Madrid,LaLiga,Spain,Diego Simeone,https://www.transfermarkt.com/diego-simeone/profil/trainer/2868,"Apr 28, 1970",Argentina,Italy,2011-12-23,,4429,660,392,147,121
