Team,League,Country,HeadCoach,Appointed,EndDate,Tenure,Matches,Wins,Draws,Losses,AppointmentNumber
Granada,LaLiga,Spain,José González,2016-02-22,2016-06-30,129,13,5,4,4,1
Granada,LaLiga,Spain,José Luis Oltra,2017-07-01,2018-03-19,261,32,14,7,11,1
Chelsea,Premier League,England,José Mourinho,2013-07-01,2015-12-17,899,136,80,27,29,1
Manchester Utd,Premier League,England,José Mourinho,2016-07-01,2018-12-18,900,144,84,31,29,2
Tottenham,Premier League,England,José Mourinho,2019-11-20,2021-04-19,516,86,45,17,24,3
Granada,LaLiga,Spain,José Ramón Sandoval,2015-05-01,2016-02-21,296,33,9,6,18,1
Rayo Vallecano,LaLiga,Spain,José Ramón Sandoval,2016-06-27,2016-11-06,132,15,5,3,7,2
Celta Vigo,LaLiga,Spain,Juan Carlos Unzué,2017-07-01,2018-06-30,364,42,15,11,16,1
Getafe,LaLiga,Spain,Juan Esnáider,2016-04-12,2016-09-26,167,14,3,5,6,1
Real Madrid,LaLiga,Spain,Julen Lopetegui,2018-07-01,2018-10-29,120,14,6,2,6,1
Sevilla,LaLiga,Spain,Julen Lopetegui,2019-07-01,2022-10-06,1193,170,90,44,36,2
Hoffenheim,Bundesliga,Germany,Julian Nagelsmann,2016-02-11,2019-06-30,1235,136,55,43,38,1
Bayern Munich,Bundesliga,Germany,Julian Nagelsmann,2021-07-01,2023-03-24,631,84,60,14,10,2
Bastia,Ligue 1,France,Julien Stéphan,2018-12-04,2021-03-01,818,110,49,24,37,1
Betis,LaLiga,Spain,Julio Velázquez,2014-07-01,2014-11-25,147,16,8,3,5,1
Udinese,Serie A,Italy,Julio Velázquez,2018-07-01,2018-11-13,135,13,2,3,8,2
Bayern Munich,Bundesliga,Germany,Jupp Heynckes,2017-10-09,2018-06-30,264,41,33,3,5,1
Dortmund,Bundesliga,Germany,Jürgen Klopp,2008-07-01,2015-06-30,2555,319,181,65,73,1
Stuttgart,Bundesliga,Germany,Jürgen Kramny,2015-12-21,2016-06-30,192,18,5,3,10,1
Mainz 05,Bundesliga,Germany,Kasper Hjulmand,2014-07-01,2015-02-17,231,24,5,10,9,1
Paris S-G,Ligue 1,France,Laurent Blanc,2013-06-25,2016-06-22,1093,173,126,31,16,1
Monaco,Ligue 1,France,Leonardo Jardim,2014-07-01,2018-10-11,1563,233,127,51,55,1
Monaco,Ligue 1,France,Leonardo Jardim,2019-01-27,2019-12-27,334,37,14,10,13,2
Chievo,Serie A,Italy,Lorenzo D'Anna,2018-04-29,2018-10-09,163,12,4,2,6,1
Manchester Utd,Premier League,England,Louis van Gaal,2014-07-14,2016-05-23,679,103,54,24,25,1
Udinese,Serie A,Italy,Luca Gotti,2019-11-01,2021-12-07,767,87,25,25,37,1
Granada,LaLiga,Spain,Lucas Alcaraz,2016-10-19,2017-04-10,173,25,5,6,14,1
Roma,Serie A,Italy,Luciano Spalletti,2016-01-14,2017-05-30,502,75,50,11,14,1
Milan,Serie A,Italy,Luciano Spalletti,2017-06-09,2019-05-30,720,90,46,24,20,2
M'Gladbach,Bundesliga,Germany,Lucien Favre,2011-02-14,2015-09-20,1679,189,89,45,55,1
Nice,Ligue 1,France,Lucien Favre,2016-07-01,2018-06-30,729,99,43,23,33,2
Dortmund,Bundesliga,Germany,Lucien Favre,2018-07-01,2020-12-13,896,110,68,17,25,3
Udinese,Serie A,Italy,Luigi De Canio,2016-03-14,2016-06-30,108,9,2,3,4,1
Hellas Verona,Serie A,Italy,Luigi Delneri,2015-12-01,2016-06-30,212,26,6,7,13,1
Udinese,Serie A,Italy,Luigi Delneri,2016-10-03,2017-11-21,414,44,15,8,21,2
Barcelona,LaLiga,Spain,Luis Enrique,2014-07-01,2017-06-30,1095,181,138,22,21,1
Villarreal,LaLiga,Spain,Luis García,2018-12-10,2019-01-29,50,9,1,5,3,1
Las Palmas,LaLiga,Spain,Manolo Jiménez,2018-07-01,2018-11-16,138,15,5,7,3,1
Las Palmas,LaLiga,Spain,Manolo Márquez,2017-07-03,2017-09-26,85,6,2,0,4,1
Augsburg,Bundesliga,Germany,Manuel Baum,2016-12-28,2019-04-09,832,85,24,23,38,1
Manchester City,Premier League,England,Manuel Pellegrini,2013-07-01,2016-06-30,1095,166,101,27,38,1
West Ham,Premier League,England,Manuel Pellegrini,2018-07-01,2019-12-28,545,64,24,11,29,2
Villarreal,LaLiga,Spain,Marcelino,2013-01-15,2016-08-10,1303,177,87,44,46,1
Valencia,LaLiga,Spain,Marcelino,2017-07-01,2019-09-11,802,110,56,29,25,2
Athletic Club,LaLiga,Spain,Marcelino,2021-01-04,2022-06-30,542,75,29,25,21,3
Marseille,Ligue 1,France,Marcelo Bielsa,2014-07-01,2015-08-10,405,41,21,6,14,1
Lille,Ligue 1,France,Marcelo Bielsa,2017-07-01,2017-11-22,144,14,4,3,7,3
Frosinone,Serie A,Italy,Marco Baroni,2018-12-19,2019-06-02,165,22,4,5,13,1
Empoli,Serie A,Italy,Marco Giampaolo,2015-06-15,2016-06-30,381,39,12,10,17,1
Milan,Serie A,Italy,Marco Giampaolo,2019-06-19,2019-10-08,111,7,3,0,4,2
Torino,Serie A,Italy,Marco Giampaolo,2020-08-07,2021-01-18,164,21,4,7,10,3
M'Gladbach,Bundesliga,Germany,Marco Rose,2019-07-01,2021-06-30,730,88,41,19,28,1
Dortmund,Bundesliga,Germany,Marco Rose,2021-07-01,2022-05-20,323,46,27,4,15,2
Everton,Premier League,England,Marco Silva,2018-05-31,2019-12-05,553,60,24,11,25,1
Wolfsburg,Bundesliga,Germany,Mark van Bommel,2021-07-01,2021-10-24,115,13,4,3,6,1
Köln,Bundesliga,Germany,Markus Anfang,2018-07-01,2019-04-27,300,33,19,5,9,1
Darmstadt 98,Bundesliga,Germany,Markus Anfang,2020-07-01,2021-05-31,334,37,17,6,14,2
Werder Bremen,Bundesliga,Germany,Markus Anfang,2021-06-01,2021-11-19,171,14,5,4,5,3
Hoffenheim,Bundesliga,Germany,Markus Gisdol,2013-04-02,2015-10-26,937,96,35,24,37,1
Köln,Bundesliga,Germany,Markus Gisdol,2019-11-19,2021-04-11,509,54,15,13,26,2
Augsburg,Bundesliga,Germany,Markus Weinzierl,2012-07-01,2016-06-30,1460,154,56,32,66,1
Stuttgart,Bundesliga,Germany,Markus Weinzierl,2018-10-09,2019-04-20,193,23,4,4,15,2
Augsburg,Bundesliga,Germany,Markus Weinzierl,2021-04-26,2022-06-30,430,38,12,8,18,3
Mainz 05,Bundesliga,Germany,Martin Schmidt,2015-02-17,2017-05-22,825,91,33,21,37,1
Wolfsburg,Bundesliga,Germany,Martin Schmidt,2017-09-18,2018-02-19,154,22,5,11,6,2
Augsburg,Bundesliga,Germany,Martin Schmidt,2019-04-09,2020-03-09,335,32,9,7,16,3
Juventus,Serie A,Italy,Massimiliano Allegri,2014-07-16,2019-06-30,1810,271,191,41,39,1
Udinese,Serie A,Italy,Massimo Oddo,2017-11-21,2018-04-24,154,23,7,3,13,1
Tottenham,Premier League,England,Mauricio Pochettino,2014-07-01,2019-11-19,1967,293,160,60,73,1
Paris S-G,Ligue 1,France,Mauricio Pochettino,2021-01-02,2022-07-05,549,84,56,13,15,2
Empoli,Serie A,Italy,Maurizio Sarri,2012-06-25,2015-06-04,1074,132,52,45,35,1
Napoli,Serie A,Italy,Maurizio Sarri,2015-06-11,2018-07-13,1128,148,98,25,25,2
Chelsea,Premier League,England,Maurizio Sarri,2018-07-14,2019-06-30,351,63,40,11,12,3
Juventus,Serie A,Italy,Maurizio Sarri,2019-07-01,2020-08-08,404,52,34,8,10,4
Marseille,Ligue 1,France,Michel,2015-08-19,2016-04-19,244,46,17,17,12,1
